datetime,track name,artist,album name,track duration,abum image url,spotify url,spotify track id,genre,track playing,tempo,acousticness,livelines,danceability,speechiness,loudness,energy,instrumentalness
2018-12-24 17:54:56,Christmas (Baby Please Come Home),Mariah Carey,Merry Christmas,153240,https://i.scdn.co/image/e06f3ddadf59ee24504fc02bfe205945807a2437,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN,spotify:track:3PIDciSFdrQxSQSihim3hN,christmas,TRUE,127.16,0.022,0.109,0.566,0.0311,-7.444,0.782,0
2018-12-24 17:57:30,Have Yourself A Merry Little Christmas,Sam Smith,Have Yourself A Merry Little Christmas,170964,https://i.scdn.co/image/b5333d4d36c18cfde61d7b6619b0f2b5f8804ec4,https://open.spotify.com/track/7Hz6LLOVxrojLPIHJJ1S0E,spotify:track:7Hz6LLOVxrojLPIHJJ1S0E,christmas,TRUE,133.483,0.954,0.317,0.426,0.0436,-9.429,0.177,0
2018-12-24 18:00:21,Underneath the Tree,Kelly Clarkson,Wrapped In Red,229640,https://i.scdn.co/image/ff6b67458d8ed3ada8be10060a8ef2bdbc32dbed,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5,spotify:track:3nAp4IvdMPPWEH9uuXFFV5,christmas,TRUE,159.876,0.0013,0.214,0.509,0.0537,-5.438,0.812,0.0000199
2018-12-24 18:04:11,Santa Claus Is Coming To Town,Michael Bublé,Christmas (Deluxe Special Edition),171093,https://i.scdn.co/image/91c2445c170390988d8010c45abb5c9d4c2db174,https://open.spotify.com/track/1RMDXedcRno6rDBCbNHDJf,spotify:track:1RMDXedcRno6rDBCbNHDJf,christmas,TRUE,122.331,0.785,0.0313,0.594,0.0517,-7.109,0.389,0
2018-12-24 18:07:03,Winter Wonderland,Tony Bennett,Snowfall - The Tony Bennett Christmas Album,133866,https://i.scdn.co/image/324c2c43e1c79b410456a7162431b2bbe2bcf81c,https://open.spotify.com/track/4ricyQVd20UQde1jpXCSuJ,spotify:track:4ricyQVd20UQde1jpXCSuJ,christmas,TRUE,115.006,0.833,0.0789,0.452,0.0415,-14.15,0.366,0
2018-12-24 18:07:03,Winter Wonderland,Tony Bennett,Snowfall - The Tony Bennett Christmas Album,133866,https://i.scdn.co/image/324c2c43e1c79b410456a7162431b2bbe2bcf81c,https://open.spotify.com/track/4ricyQVd20UQde1jpXCSuJ,spotify:track:4ricyQVd20UQde1jpXCSuJ,christmas,TRUE,115.006,0.833,0.0789,0.452,0.0415,-14.15,0.366,0
2018-12-24 18:07:03,Winter Wonderland,Tony Bennett,Snowfall - The Tony Bennett Christmas Album,133866,https://i.scdn.co/image/324c2c43e1c79b410456a7162431b2bbe2bcf81c,https://open.spotify.com/track/4ricyQVd20UQde1jpXCSuJ,spotify:track:4ricyQVd20UQde1jpXCSuJ,christmas,TRUE,115.006,0.833,0.0789,0.452,0.0415,-14.15,0.366,0
2018-12-24 20:02:39,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,241106,https://i.scdn.co/image/e06f3ddadf59ee24504fc02bfe205945807a2437,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,spotify:track:0bYg9bo50gSsH3LtXe2SQn,christmas,TRUE,150.277,0.164,0.0708,0.335,0.0386,-7.462,0.625,0
2018-12-24 20:02:39,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,241106,https://i.scdn.co/image/e06f3ddadf59ee24504fc02bfe205945807a2437,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,spotify:track:0bYg9bo50gSsH3LtXe2SQn,christmas,TRUE,150.277,0.164,0.0708,0.335,0.0386,-7.462,0.625,0
2018-12-24 20:06:40,Fairytale of New York (feat. Kirsty MacColl),The Pogues,Fairytale Of New York,272200,https://i.scdn.co/image/7877a410df458c1606a61861d487cecc9b8ea87b,https://open.spotify.com/track/3wV9G5BhrJ1ntlCQYko0if,spotify:track:3wV9G5BhrJ1ntlCQYko0if,christmas,TRUE,118.501,0.501,0.241,0.319,0.0342,-6.335,0.651,0.0000473
